Champion,Patch
Braum,4.9
Braum,4.7
Braum,4.13
Braum,4.11
Braum,10.3
Braum,10.2
Caitlyn,9.9
Caitlyn,9.6
Caitlyn,9.22
Caitlyn,9.19
Caitlyn,9.18
Caitlyn,9.12
Caitlyn,9.10
Caitlyn,9.1
Caitlyn,8.9
Caitlyn,8.3
Caitlyn,8.24b
Caitlyn,8.2
Caitlyn,8.13
Caitlyn,8.12
Caitlyn,8.11
Caitlyn,7.9
Caitlyn,7.4
Caitlyn,7.22
Caitlyn,7.21
Caitlyn,7.20
Caitlyn,7.19
Caitlyn,7.16
Caitlyn,7.15
Caitlyn,7.14
Caitlyn,7.12
Caitlyn,7.11
Caitlyn,6.7
Caitlyn,6.4
Caitlyn,6.15
Caitlyn,6.1
Caitlyn,5.8
Caitlyn,5.24
Caitlyn,5.23
Caitlyn,5.22
Caitlyn,5.21
Caitlyn,5.18
Caitlyn,5.11
Caitlyn,4.5
Caitlyn,4.15
Caitlyn,4.12
Caitlyn,4.11
Caitlyn,4.1
Caitlyn,3.7
Caitlyn,3.15
Caitlyn,3.02
Caitlyn,10.4
Caitlyn,10.2
Camille,9.8
Camille,9.3
Camille,9.17
Camille,9.14
Camille,8.24
Camille,8.13
Camille,7.7
Camille,7.4
Camille,7.3
Camille,7.24
Camille,7.22
Camille,7.2
Camille,7.12
Camille,7.1
Camille,6.24
Cassiopeia,9.8
Cassiopeia,9.3
Cassiopeia,9.2
Cassiopeia,9.14
Cassiopeia,8.9
Cassiopeia,8.7
Cassiopeia,8.3
Cassiopeia,8.24b
Cassiopeia,8.2
Cassiopeia,8.14
Cassiopeia,8.1
Cassiopeia,7.9
Cassiopeia,7.5
Cassiopeia,7.4
Cassiopeia,7.24b
Cassiopeia,7.22
Cassiopeia,7.18
Cassiopeia,7.17
Cassiopeia,7.16
Cassiopeia,7.15
Cassiopeia,7.10
Cassiopeia,6.9
Cassiopeia,6.22
Cassiopeia,6.2
Cassiopeia,6.19
Cassiopeia,6.11
Cassiopeia,6.10
Cassiopeia,5.6
Cassiopeia,5.5
Cassiopeia,5.2
Cassiopeia,5.18
Cassiopeia,5.10
Cassiopeia,4.5
Cassiopeia,4.21
Cassiopeia,4.17
Cassiopeia,4.16
Cassiopeia,4.15
Cassiopeia,4.13
Cassiopeia,3.7
Cassiopeia,3.12
Cassiopeia,10.2
Chogath,9.7
Chogath,9.5
Chogath,9.20
Chogath,9.10
Chogath,8.7
Chogath,8.5
Chogath,8.3
Chogath,8.2
Chogath,8.10
Chogath,8.1
Chogath,7.9
Chogath,7.7
Chogath,7.6
Chogath,7.5
Chogath,7.4
Chogath,7.24
Chogath,7.22
Chogath,7.21
Chogath,7.20
Chogath,7.19
Chogath,7.17
Chogath,7.15
Chogath,7.14
Chogath,7.13
Chogath,6.8
Chogath,6.7
Chogath,6.6
Chogath,6.5
Chogath,6.20
Chogath,5.21
Chogath,4.8
Chogath,4.5
Chogath,4.21
Chogath,4.18
Chogath,3.15
Chogath,3.01
Chogath,10.4
Corki,9.16
Corki,9.14
Corki,9.13
Corki,9.1
Corki,8.6
Corki,8.3
Corki,8.24b
Corki,8.14
Corki,8.12
Corki,7.9
Corki,7.6
Corki,7.4
Corki,7.24b
Corki,7.24
Corki,7.22
Corki,7.16
Corki,7.12
Corki,6.7
Corki,6.3
Corki,6.19
Corki,6.17
Corki,6.15
Corki,6.12
Corki,6.11
Corki,5.23
Corki,5.22
Corki,5.18
Corki,5.1
Corki,4.5
Corki,4.3
Corki,4.21
Corki,4.17
Corki,4.16
Corki,3.9
Corki,3.8
Corki,3.6
Corki,3.14
Corki,3.13
Corki,10.7
Corki,10.3
Corki,10.1
Darius,9.9
Darius,9.5
Darius,9.24
Darius,9.23
Darius,9.16
Darius,8.8
Darius,8.7
Darius,8.4
Darius,8.3
Darius,8.2
Darius,8.19
Darius,8.15
Darius,8.14
Darius,7.7
Darius,7.24
Darius,7.22
Darius,7.2
Darius,7.14
Darius,7.11
Darius,7.1
Darius,6.8
Darius,6.23
Darius,6.15
Darius,6.14
Darius,6.11
Darius,5.7
Darius,5.21
Darius,5.20
Darius,5.18
Darius,5.17
Darius,5.16
Darius,5.14
Darius,4.5
Darius,4.1
Darius,3.8
Darius,3.03
Darius,10.6
Darius,10.5
Darius,10.4
Darius,10.2
Diana,9.8
Diana,9.6
Diana,9.24
Diana,9.23
Diana,9.20
Diana,9.18
Diana,9.14
Diana,9.13
Diana,9.11
Diana,8.9
Diana,8.3
Diana,8.2
Diana,8.14
Diana,8.11
Diana,7.22
Diana,7.14
Diana,7.10
Diana,6.20
Diana,6.17
Diana,5.3
Diana,4.9
Diana,4.5
Diana,4.4
Diana,4.21
Diana,4.18
Diana,3.7
Diana,3.01
Diana,10.4
Diana,10.3
Draven,9.9
Draven,9.15
Draven,9.11
Draven,9.1
Draven,8.8
Draven,8.3
Draven,8.21
Draven,8.2
Draven,8.19
Draven,8.14
Draven,8.11
Draven,7.9
Draven,7.4
Draven,7.22
Draven,7.21
Draven,7.20
Draven,7.17
Draven,7.15
Draven,7.1
Draven,6.21
Draven,6.17
Draven,6.11
Draven,5.22
Draven,5.17
Draven,4.5
Draven,4.10
Draven,3.9
Draven,3.6
Draven,3.5
Draven,3.11
Draven,10.7
Draven,10.6
Draven,10.2
Draven,10.1
DrMundo,9.8
DrMundo,9.7
DrMundo,9.5
DrMundo,9.4
DrMundo,9.16
DrMundo,9.1
DrMundo,8.9
DrMundo,8.3
DrMundo,8.24
DrMundo,8.14
DrMundo,8.13
DrMundo,8.10
DrMundo,7.6
DrMundo,7.24
DrMundo,7.23
DrMundo,7.22
DrMundo,7.19
DrMundo,7.15
DrMundo,7.11
DrMundo,6.7
DrMundo,6.2
DrMundo,6.19
DrMundo,6.12
DrMundo,5.8
DrMundo,5.24
DrMundo,5.20
DrMundo,4.5
DrMundo,4.2
DrMundo,4.13
DrMundo,3.6
DrMundo,10.4
Ekko,9.9
Ekko,9.24
Ekko,9.23
Ekko,9.18
Ekko,9.16
Ekko,9.11
Ekko,8.8
Ekko,8.22
Ekko,8.2
Ekko,7.22
Ekko,7.21
Ekko,7.15
Ekko,7.14
Ekko,7.12
Ekko,7.1
Ekko,6.8
Ekko,6.6
Ekko,6.3
Ekko,6.22
Ekko,6.18
Ekko,6.17
Ekko,6.11
Ekko,6.1
Ekko,5.24
Ekko,5.15
Ekko,5.14
Ekko,5.13
Ekko,5.12
Ekko,5.11
Ekko,5.10
Ekko,10.3
Elise,9.6
Elise,8.7
Elise,8.3
Elise,8.2
Elise,8.19
Elise,8.14
Elise,8.12
Elise,7.9
Elise,7.7
Elise,7.4
Elise,7.22
Elise,7.18
Elise,7.15
Elise,7.14
Elise,7.11
Elise,6.2
Elise,6.18
Elise,6.17
Elise,6.12
Elise,6.1
Elise,5.6
Elise,5.18
Elise,5.16
Elise,5.14
Elise,5.13
Elise,5.12
Elise,5.1
Elise,4.9
Elise,4.5
Elise,4.4
Elise,4.2
Elise,4.13
Elise,3.7
Elise,3.10
Elise,3.04
Elise,3.01
Evelynn,9.3
Evelynn,9.24b
Evelynn,9.23
Evelynn,9.2
Evelynn,9.18
Evelynn,9.15
Evelynn,8.4
Evelynn,8.24
Evelynn,8.20
Evelynn,8.2
Evelynn,8.1
Evelynn,7.24
Evelynn,7.22
Evelynn,7.21
Evelynn,7.20
Evelynn,7.14
Evelynn,6.8
Evelynn,6.7
Evelynn,6.23
Evelynn,6.22
Evelynn,6.17
Evelynn,6.15
Evelynn,5.7
Evelynn,5.6
Evelynn,5.22
Evelynn,5.20
Evelynn,5.14
Evelynn,5.1
Evelynn,4.20
Evelynn,4.2
Evelynn,4.18
Evelynn,4.13
Evelynn,4.1
Ezreal,9.24b
Ezreal,9.23
Ezreal,9.16
Ezreal,9.13
Ezreal,8.3
Ezreal,8.24
Ezreal,8.23
Ezreal,8.21
Ezreal,8.20
Ezreal,8.2
Ezreal,8.19
Ezreal,8.15
Ezreal,8.14
Ezreal,8.12
Ezreal,8.11
Ezreal,7.9
Ezreal,7.7
Ezreal,7.3
Ezreal,7.24b
Ezreal,7.24
Ezreal,7.22
Ezreal,7.19
Ezreal,7.17
Ezreal,7.15
Ezreal,7.11
Ezreal,7.10
Ezreal,6.4
Ezreal,6.21
Ezreal,6.17
Ezreal,5.22
Ezreal,5.20
Ezreal,5.18
Ezreal,5.13
Ezreal,4.5
Ezreal,4.4
Ezreal,4.20
Ezreal,4.19
Ezreal,4.18
Ezreal,4.16
Ezreal,4.12
Ezreal,3.6
Ezreal,3.10
Ezreal,3.01
Ezreal,10.4
Ezreal,10.3
Fiddlesticks,9.6
Fiddlesticks,9.23
Fiddlesticks,9.17
Fiddlesticks,8.9
Fiddlesticks,8.4
Fiddlesticks,8.3
Fiddlesticks,8.2
Fiddlesticks,8.15
Fiddlesticks,7.9
Fiddlesticks,7.6
Fiddlesticks,7.22
Fiddlesticks,7.16
Fiddlesticks,7.1
Fiddlesticks,6.9
Fiddlesticks,6.8
Fiddlesticks,6.7
Fiddlesticks,6.24
Fiddlesticks,6.23
Fiddlesticks,6.10
Fiddlesticks,6.1
Fiddlesticks,5.3
Fiddlesticks,5.22
Fiddlesticks,4.5
Fiddlesticks,4.3
Fiddlesticks,4.21
Fiddlesticks,4.19
Fiddlesticks,4.15
Fiddlesticks,3.6
Fiddlesticks,3.15
Fiddlesticks,3.10
Fiddlesticks,3.03
Fiddlesticks,10.7
Fiddlesticks,10.5
Fiora,9.8
Fiora,9.7
Fiora,9.2
Fiora,9.19
Fiora,9.16
Fiora,9.10
Fiora,8.3
Fiora,8.24
Fiora,8.22
Fiora,8.19
Fiora,8.17
Fiora,7.7
Fiora,7.6
Fiora,7.22
Fiora,7.18
Fiora,7.16
Fiora,7.15
Fiora,7.14
Fiora,7.11
Fiora,6.6
Fiora,6.4
Fiora,6.22
Fiora,6.21
Fiora,6.2
Fiora,6.16
Fiora,6.14
Fiora,6.13
Fiora,5.20
Fiora,5.18
Fiora,5.15
Fiora,4.5
Fiora,4.4
Fiora,4.20
Fiora,4.17
Fiora,4.1
Fiora,3.15
Fiora,3.11
Fizz,9.22
Fizz,9.15
Fizz,9.14
Fizz,8.3
Fizz,8.16
Fizz,8.15
Fizz,8.14
Fizz,7.9
Fizz,7.6
Fizz,7.5
Fizz,7.22
Fizz,7.18
Fizz,7.16
Fizz,7.10
Fizz,7.1
Fizz,6.24
Fizz,6.23
Fizz,6.22
Fizz,6.20
Fizz,6.16
Fizz,6.12
Fizz,6.10
Fizz,5.7
Fizz,5.22
Fizz,5.2
Fizz,5.17
Fizz,5.1
Fizz,4.5
Fizz,4.4
Fizz,4.2
Fizz,4.13
Fizz,3.13
Fizz,3.10
Galio,9.2
Galio,9.17
Galio,9.15
Galio,9.14
Galio,9.11
Galio,9.1
Galio,8.9
Galio,8.8
Galio,8.7
Galio,8.5
Galio,8.24
Galio,8.2
Galio,8.1
Galio,7.8
Galio,7.7
Galio,7.6
Galio,7.24
Galio,7.22
Galio,7.21
Galio,7.16
Galio,7.13
Galio,6.8
Galio,6.7
Galio,5.6
Galio,5.22
Galio,5.18
Galio,5.15
Galio,5.12
Galio,4.5
Galio,4.21
Galio,4.17
Galio,4.10
Galio,3.11
Galio,10.7
Galio,10.3
Gangplank,9.5
Gangplank,9.22
Gangplank,8.6
Gangplank,8.4
Gangplank,8.23
Gangplank,8.1
Gangplank,7.4
Gangplank,7.3
Gangplank,7.22
Gangplank,7.21
Gangplank,7.2
Gangplank,7.15
Gangplank,7.13
Gangplank,6.4
Gangplank,6.22
Gangplank,6.2
Gangplank,6.17
Gangplank,6.1
Gangplank,5.5
Gangplank,5.21
Gangplank,5.18
Gangplank,5.17
Gangplank,5.15
Gangplank,5.14
Gangplank,4.5
Gangplank,4.18
Gangplank,4.13
Gangplank,3.8
Gangplank,10.6
Gangplank,10.3
Garen,9.7
Garen,9.24b
Garen,9.24
Garen,9.23
Garen,9.21
Garen,9.20
Garen,9.1
Garen,8.9
Garen,8.8
Garen,8.3
Garen,8.2
Garen,8.17
Garen,8.15
Garen,8.10
Garen,7.22
Garen,7.14
Garen,6.8
Garen,6.7
Garen,6.24
Garen,6.20
Garen,5.7
Garen,5.19
Garen,5.18
Garen,5.17
Garen,5.16
Garen,4.5
Garen,4.18
Garen,4.17
Garen,4.13
Garen,4.12
Garen,3.15
Garen,3.12
Garen,3.03
Garen,10.7
Garen,10.6
Garen,10.4
Garen,10.3
Garen,10.2
Gnar,9.8
Gnar,9.6
Gnar,9.4
Gnar,9.24b
Gnar,9.16
Gnar,8.4
Gnar,8.15
Gnar,8.1
Gnar,7.9
Gnar,7.7
Gnar,7.6
Gnar,7.3
Gnar,7.22
Gnar,7.18
Gnar,7.13
Gnar,6.5
Gnar,6.22
Gnar,6.18
Gnar,6.13
Gnar,6.12
Gnar,5.3
Gnar,5.23
Gnar,5.1
Gnar,4.20
Gnar,4.16
Gnar,4.15
Gnar,4.14
Gnar,10.4
Gragas,9.4
Gragas,9.19
Gragas,9.15
Gragas,9.11
Gragas,9.1
Gragas,8.7
Gragas,8.4
Gragas,8.24
Gragas,8.21
Gragas,8.13
Gragas,7.8
Gragas,7.23
Gragas,7.22
Gragas,7.2
Gragas,7.18
Gragas,7.15
Gragas,7.11
Gragas,7.10
Gragas,6.7
Gragas,6.3
Gragas,6.17
Gragas,6.14
Gragas,5.5
Gragas,5.3
Gragas,5.17
Gragas,5.12
Gragas,5.10
Gragas,4.6
Gragas,4.5
Gragas,4.3
Gragas,4.20
Gragas,4.2
Gragas,4.19
Gragas,4.14
Gragas,4.13
Gragas,4.10
Gragas,3.14
Gragas,10.6
Gragas,10.5
Graves,9.5
Graves,9.24b
Graves,9.19
Graves,9.17
Graves,9.15
Graves,9.10
Graves,8.8
Graves,8.7
Graves,8.6
Graves,8.24
Graves,8.20
Graves,8.11
Graves,8.1
Graves,7.9
Graves,7.7
Graves,7.24
Graves,7.23
Graves,7.22
Graves,7.20
Graves,7.2
Graves,7.19
Graves,7.10
Graves,6.8
Graves,6.3
Graves,6.24
Graves,6.21
Graves,6.2
Graves,6.16
Graves,6.15
Graves,6.14
Graves,5.8
Graves,5.22
Graves,4.5
Graves,4.19
Graves,4.18
Graves,4.17
Graves,4.15
Graves,4.13
Graves,10.6
Graves,10.5
Hecarim,9.9
Hecarim,9.6
Hecarim,9.4
Hecarim,8.7
Hecarim,8.16
Hecarim,7.22
Hecarim,7.17
Hecarim,7.11
Hecarim,7.1
Hecarim,6.7
Hecarim,6.5
Hecarim,6.20
Hecarim,6.2
Hecarim,6.15
Hecarim,6.14
Hecarim,6.12
Hecarim,5.9
Hecarim,5.7
Hecarim,5.24
Hecarim,5.23
Hecarim,5.22
Hecarim,5.11
Hecarim,5.1
Hecarim,4.5
Hecarim,4.13
Hecarim,4.1
Hecarim,3.9
Hecarim,3.8
Hecarim,3.03
Hecarim,10.6
Heimerdinger,9.6
Heimerdinger,9.24b
Heimerdinger,9.21
Heimerdinger,9.19
Heimerdinger,9.1
Heimerdinger,8.9
Heimerdinger,8.24
Heimerdinger,8.22
Heimerdinger,8.1
Heimerdinger,7.9
Heimerdinger,7.4
Heimerdinger,7.22
Heimerdinger,7.16
Heimerdinger,7.15
Heimerdinger,7.12
Heimerdinger,7.11
Heimerdinger,7.10
Heimerdinger,6.24
Heimerdinger,6.1
Heimerdinger,4.5
Heimerdinger,4.4
Heimerdinger,4.20
Heimerdinger,4.17
Heimerdinger,4.13
Heimerdinger,4.11
Heimerdinger,3.13
Heimerdinger,3.12
Heimerdinger,3.01
Illaoi,9.9
Illaoi,9.8
Illaoi,9.5
Illaoi,9.19
Illaoi,9.18
Illaoi,9.15
Illaoi,9.13
Illaoi,9.11
Illaoi,9.1
Illaoi,8.6
Illaoi,8.3
Illaoi,8.24
Illaoi,8.20
Illaoi,8.18
Illaoi,8.14
Illaoi,8.13
Illaoi,7.7
Illaoi,7.6
Illaoi,7.24
Illaoi,7.23
Illaoi,7.22
Illaoi,7.17
Illaoi,7.11
Illaoi,6.9
Illaoi,6.5
Illaoi,6.4
Illaoi,6.3
Illaoi,6.22
Illaoi,6.15
Illaoi,6.14
Illaoi,6.11
Illaoi,6.10
Illaoi,5.23
Illaoi,10.6
Illaoi,10.3
Illaoi,10.1
Irelia,9.9
Irelia,9.3
Irelia,9.2
Irelia,9.15
Irelia,9.12
Irelia,8.9
Irelia,8.8
Irelia,8.7
Irelia,8.3
Irelia,8.24
Irelia,8.21
Irelia,8.2
Irelia,8.17
Irelia,8.15
Irelia,8.13
Irelia,7.22
Irelia,7.16
Irelia,7.15
Irelia,7.14
Irelia,6.7
Irelia,6.16
Irelia,6.13
Irelia,5.6
Irelia,5.22
Irelia,4.5
Irelia,4.16
Irelia,4.13
Ivern,9.6
Ivern,9.21
Ivern,9.20
Ivern,8.9
Ivern,8.7
Ivern,8.3
Ivern,8.21
Ivern,8.12
Ivern,7.8
Ivern,7.7
Ivern,7.6
Ivern,7.3
Ivern,7.24
Ivern,7.22
Ivern,7.19
Ivern,7.18
Ivern,7.14
Ivern,7.12
Ivern,7.11
Ivern,7.10
Ivern,7.1
Ivern,6.24
Ivern,6.22
Ivern,6.21
Ivern,6.20
Ivern,10.7
Ivern,10.6
Janna,9.11
Janna,8.9
Janna,8.8
Janna,8.5
Janna,8.3
Janna,8.2
Janna,8.19
Janna,8.12
Janna,7.9
Janna,7.22
Janna,7.19
Janna,7.11
Janna,6.7
Janna,6.6
Janna,6.23
Janna,6.22
Janna,6.21
Janna,5.4
Janna,5.22
Janna,5.17
Janna,5.1
Janna,4.5
Janna,4.19
Janna,4.13
Janna,4.1
Janna,3.15
Janna,3.14
Janna,3.04
Janna,3.03
Janna,3.02
JarvanIV,9.9
JarvanIV,9.7
JarvanIV,9.2
JarvanIV,9.13
JarvanIV,9.1
JarvanIV,8.6
JarvanIV,8.5
JarvanIV,8.3
JarvanIV,8.20
JarvanIV,8.2
JarvanIV,8.19
JarvanIV,8.15
JarvanIV,8.14
JarvanIV,8.13
JarvanIV,7.7
JarvanIV,7.24
JarvanIV,7.22
JarvanIV,7.19
JarvanIV,7.18
JarvanIV,6.7
JarvanIV,6.5
JarvanIV,6.15
JarvanIV,6.14
JarvanIV,6.13
JarvanIV,5.4
JarvanIV,5.18
JarvanIV,5.13
JarvanIV,5.12
JarvanIV,4.7
JarvanIV,4.5
JarvanIV,4.21
JarvanIV,4.19
JarvanIV,4.15
JarvanIV,4.13
JarvanIV,4.1
JarvanIV,3.7
JarvanIV,3.13
JarvanIV,3.04
JarvanIV,3.02
Jax,9.9
Jax,9.2
Jax,9.16
Jax,9.1
Jax,8.4
Jax,8.3
Jax,8.24
Jax,8.2
Jax,7.8
Jax,7.5
Jax,7.22
Jax,7.19
Jax,7.16
Jax,7.12
Jax,7.11
Jax,7.10
Jax,6.7
Jax,6.3
Jax,6.11
Jax,5.22
Jax,5.17
Jax,5.12
Jax,4.5
Jax,4.21
Jax,4.13
Jax,4.11
Jax,10.1
Jayce,9.8
Jayce,9.6
Jayce,9.2
Jayce,9.18
Jayce,9.15
Jayce,9.14
Jayce,9.11
Jayce,9.1
Jayce,8.3
Jayce,8.24
Jayce,8.2
Jayce,7.9
Jayce,7.3
Jayce,7.24b
Jayce,7.23
Jayce,7.22
Jayce,7.16
Jayce,7.15
Jayce,7.12
Jayce,6.6
Jayce,6.22
Jayce,6.17
Jayce,6.1
Jayce,5.22
Jayce,5.13
Jayce,5.11
Jayce,5.1
Jayce,4.5
Jayce,4.21
Jayce,3.9
Jayce,10.4
Jayce,10.3
Jayce,10.1
Jhin,9.8
Jhin,9.5
Jhin,9.18
Jhin,9.14
Jhin,9.12
Jhin,9.1
Jhin,8.9
Jhin,8.6
Jhin,8.5
Jhin,8.3
Jhin,8.22
Jhin,8.2
Jhin,8.13
