Champion,Name,Erscheinungsdatum
Nidalee,Original,17-Dec-2009
Nidalee,French Maid,24-Jun-2010
Nidalee,Pharaoh,10-Jan-2011
Nidalee,Headhunter,20-Mar-2013
Nidalee,Warring Kingdoms,10-Feb-2015
Nidalee,Super Galaxy,16-Oct-2017
Nidalee,Dawnbringer,12-Dec-2019
Nidalee,Snow Bunny,17-Dec-2009
Nidalee,Leopard,24-Feb-2010
Nidalee,Bewitching,19-Oct-2011
Nidalee,Challenger,14-Jan-2016
Nocturne,Original,15-Mar-2011
Nocturne,Frozen Terror,15-Mar-2011
Nocturne,Ravager,13-Jul-2011
Nocturne,Eternum,05-Dec-2012
Nocturne,Cursed Revenant,04-May-2016
Nocturne,Elderwood,29-Aug-2019
Nocturne,Void,15-Mar-2011
Nocturne,Haunting,19-Oct-2011
Nunu,Original,21-Feb-2009
Nunu,Grungy,10-Aug-2010
Nunu,Nunu Bot,05-May-2011
Nunu,Demolisher,24-Aug-2011
Nunu,Papercraft,21-Feb-2019
Nunu,Sasquatch,20-Nov-2009
Nunu,Workshop,17-Dec-2009
Nunu,TPA,23-May-2013
Nunu,Zombie,05-Nov-2015
Olaf,Original,08-Jun-2010
Olaf,Brolaf,01-Dec-2010
Olaf,Pentakill,01-Oct-2012
Olaf,Marauder,30-Sep-2015
Olaf,Butcher,07-Sep-2016
Olaf,Dragonslayer,30-Jan-2020
Olaf,Forsaken,08-Jun-2010
Olaf,Glacial,08-Jun-2010
Olaf,SKT T1,27-Jun-2017
Orianna,Original,01-Jun-2011
Orianna,Gothic,01-Jun-2011
Orianna,Sewn Chaos,01-Jun-2011
Orianna,Bladecraft,29-Feb-2012
Orianna,Dark Star,03-May-2017
Orianna,TPA,23-May-2013
Orianna,Winter Wonder,15-Dec-2014
Orianna,Heartseeker,11-Feb-2016
Orianna,Victorious,21-Nov-2018
Ornn,Original,22-Aug-2017
Ornn,Thunder Lord,22-Aug-2017
Pantheon,Original,02-Feb-2010
Pantheon,Myrmidon,02-Feb-2010
Pantheon,Full Metal,01-Aug-2011
Pantheon,Dragonslayer,14-May-2014
Pantheon,Baker,07-Sep-2016
Pantheon,Ruthless,08-Aug-2010
Pantheon,Perseus,02-Nov-2010
Pantheon,Glaive Warrior,30-May-2012
Pantheon,Zombie Slayer,05-Nov-2015
Poppy,Original,13-Jan-2010
Poppy,Battle Regalia,15-Mar-2011
Poppy,Scarlet Hammer,01-Feb-2012
Poppy,Star Guardian,05-Oct-2016
Poppy,Noxus,02-Feb-2010
Poppy,Lollipoppy,19-Oct-2010
Poppy,Blacksmith,24-Aug-2010
Poppy,Ragdoll,14-Dec-2010
Poppy,Snow Fawn,12-Dec-2017
Poppy,Hextech,23-Jul-2018
Pyke,Original,31-May-2018
Pyke,Sand Wraith,31-May-2018
Pyke,Blood Moon,10-Jan-2019
Pyke,PROJECT,01-Aug-2019
Qiyana,Original,28-Jun-2019
Qiyana,Battle Boss,28-Jun-2019
Qiyana,True Damage,10-Nov-2019
Qiyana,Prestige True Damage,10-Nov-2019
Quinn,Original,01-Mar-2013
Quinn,Phoenix,01-Mar-2013
Quinn,Woad Scout,09-Jun-2014
Quinn,Corsair,22-Jul-2015
Quinn,Heartseeker,02-Feb-2017
Rakan,Original,18-Apr-2017
Rakan,Cosmic Dawn,18-Apr-2017
Rakan,Star Guardian,12-Sep-2019
Rakan,Sweetheart,12-Feb-2018
Rakan,SSG,20-Jul-2018
Rakan,iG,23-Apr-2019
Rammus,Original,09-Jul-2009
Rammus,Chrome,17-May-2010
Rammus,Freljord,22-Nov-2010
Rammus,Full Metal,16-Aug-2012
Rammus,Guardian of the Sands,26-Apr-2015
Rammus,Molten,13-Jul-2010
Rammus,Ninja,17-May-2011
Rammus,Sweeper,14-Jun-2018
Rammus,King,20-Oct-2009
Rammus,Hextech,15-Aug-2019
RekSai,Original,11-Dec-2014
RekSai,Eternum,11-Dec-2014
RekSai,Pool Party,25-Jun-2015
RekSai,Blackfrost,05-Mar-2020
Renekton,Original,18-Jan-2011
Renekton,Bloodfury,26-Jul-2011
Renekton,Scorched Earth,10-Feb-2014
Renekton,Pool Party,09-Sep-2013
Renekton,Prehistoric,14-Jun-2015
Renekton,Renektoy,29-Mar-2017
Renekton,Blackfrost,05-Mar-2020
Renekton,Galactic,18-Jan-2011
Renekton,Outback,18-Jan-2011
Renekton,Rune Wars,30-Apr-2012
Renekton,SKT T1,17-Aug-2016
Renekton,Hextech,20-Dec-2018
Rengar,Original,21-Aug-2012
Rengar,Headhunter,21-Aug-2012
Rengar,Night Hunter,19-May-2014
Rengar,Mecha,09-Nov-2017
Rengar,Pretty Kitty,27-Mar-2019
Rengar,Guardian of the Sands,22-Jan-2020
Rengar,SSW,13-May-2015
Riven,Original,14-Sep-2011
Riven,Redeemed,14-Sep-2011
Riven,Crimson Elite,14-Sep-2011
Riven,Battle Bunny,06-Apr-2012
Riven,Arcade,19-Aug-2015
Riven,Dawnbringer,14-Jun-2017
Riven,Pulsefire,17-May-2018
Riven,Valiant Sword,26-Sep-2019
Riven,Dragonblade,28-Jan-2014
Riven,Championship 2016,25-Sep-2016
Riven,Championship,13-Oct-2012
Riven,Prestige Valiant Sword,26-Sep-2019
Rumble,Original,26-Apr-2011
Rumble,Rumble in the Jungle,26-Apr-2011
Rumble,Super Galaxy,02-Apr-2014
Rumble,Badlands Baron,11-Apr-2018
Rumble,Bilgerat,26-Apr-2011
Ryze,Original,21-Feb-2009
Ryze,Uncle,03-Jul-2010
Ryze,Dark Crystal,20-Feb-2012
Ryze,Ryze Whitebeard,07-Dec-2015
Ryze,Guardian of the Sands,22-Jan-2020
Ryze,Tribal,04-Mar-2010
Ryze,Professor,05-Oct-2010
Ryze,Zombie,19-Oct-2010
Ryze,Pirate,26-Oct-2012
Ryze,SKT T1,17-Aug-2016
Ryze,Championship,26-Sep-2019
Ryze,Young,17-Jul-2009
Ryze,Triumphant,31-Aug-2010
Sejuani,Original,17-Jan-2012
Sejuani,Darkrider,17-Jan-2012
Sejuani,Bear Cavalry,31-Jul-2013
Sejuani,Beast Hunter,04-Feb-2016
Sejuani,Sejuani Dawnchaser,17-Nov-2016
Sejuani,Sabretusk,17-Jan-2012
Sejuani,Traditional,30-Apr-2013
Sejuani,Poro Rider,15-Dec-2014
Sejuani,Firecracker,28-Jan-2019
Sejuani,Hextech,05-Mar-2020
Senna,Original,10-Nov-2019
Senna,True Damage,10-Nov-2019
Senna,Prestige True Damage,04-Feb-2020
Sett,Original,14-Jan-2020
Sett,Mecha Kingdoms,14-Jan-2020
Shaco,Original,09-Oct-2009
Shaco,Mad Hatter,08-Jun-2010
Shaco,Royal,12-Sep-2010
Shaco,Asylum,07-Nov-2011
Shaco,Masked,08-Jan-2013
Shaco,Wild Card,20-May-2015
Shaco,Dark Star,13-Jun-2019
Shaco,Nutcracko,14-Dec-2010
Shaco,Workshop,29-Mar-2011
Shen,Original,24-Mar-2010
Shen,Surgeon,04-Jan-2011
Shen,Blood Moon,07-Jun-2011
Shen,Warlord,17-Apr-2012
Shen,Pulsefire,17-May-2018
Shen,Infernal,05-Sep-2019
Shen,Frozen,24-Mar-2010
Shen,Yellow Jacket,24-Mar-2010
Shen,TPA,23-May-2013
Shyvana,Original,01-Nov-2011
Shyvana,Ironscale,01-Nov-2011
Shyvana,Boneclaw,01-Nov-2011
Shyvana,Darkflame,28-May-2012
Shyvana,Ice Drake,29-Apr-2013
Shyvana,Super Galaxy,25-May-2016
Shyvana,Championship,13-Oct-2014
Singed,Original,17-Apr-2009
Singed,Surfer,06-Dec-2010
Singed,Augmented,09-Jul-2012
Singed,Black Scourge,04-May-2016
Singed,Beekeeper,11-Oct-2017
Singed,Hextech,15-Aug-2010
Singed,Mad Scientist,26-Sep-2011
Singed,Snow Day,19-Dec-2013
Singed,SSW,13-May-2015
Singed,Riot Squad,25-Jun-2010
Sion,Original,21-Feb-2009
Sion,Barbarian,26-Sep-2010
Sion,Lumberjack,24-Jan-2011
Sion,Warmonger,18-Jul-2011
Sion,Mecha Zero,13-Apr-2016
Sion,Hextech,01-Jun-2010
Sion,Worldbreaker,09-Apr-2020
Sivir,Original,21-Feb-2009
Sivir,Warrior Princess,27-Apr-2010
Sivir,Bandit,21-Mar-2011
Sivir,Warden,17-Feb-2015
Sivir,Pizza Delivery,29-Mar-2018
Sivir,Blood Moon,10-Jan-2019
Sivir,Spectacular,08-Jun-2010
Sivir,Snowstorm,19-Dec-2013
Sivir,Huntress,07-Feb-2011
Sivir,PAX,25-Aug-2011
Sivir,Victorious,12-Nov-2015
Sivir,Neo PAX,30-Aug-2017
Skarner,Original,09-Aug-2011
Skarner,Sandscourge,09-Aug-2011
Skarner,Earthrune,09-Aug-2011
Skarner,Battlecast Alpha,25-Nov-2014
Skarner,Guardian of the Sands,26-Apr-2015
Sona,Original,21-Sep-2010
Sona,Pentakill,21-Sep-2010
Sona,Guqin,10-Jan-2012
Sona,Arcade,31-Aug-2012
Sona,DJ,25-Feb-2015
Sona,Odyssey,12-Sep-2018
Sona,Muse,21-Sep-2010
Sona,Silent Night,14-Dec-2010
Sona,Sweetheart,11-Feb-2016
Soraka,Original,21-Feb-2009
Soraka,Dryad,03-Jun-2010
Soraka,Divine,02-Nov-2010
Soraka,Celestine,05-Mar-2013
Soraka,Order of the Banana,31-Mar-2015
Soraka,Program,06-Apr-2016
Soraka,Star Guardian,06-Sep-2017
Soraka,Pajama Guardian,21-Nov-2018
Soraka,Dawnbringer,12-Dec-2019
Soraka,Nightbringer,12-Dec-2019
Soraka,Reaper,05-Nov-2014
Soraka,Winter Wonder,06-Dec-2018
Swain,Original,05-Oct-2010
Swain,Northern Front,05-Oct-2010
Swain,Bilgewater,05-Oct-2010
Swain,Tyrant,22-May-2012
Swain,Dragon Master,22-Feb-2018
Swain,Hextech,12-Dec-2019
Sylas,Original,25-Jan-2019
Sylas,Lunar Wraith,25-Jan-2019
Sylas,Freljord,10-Jan-2020
Syndra,Original,12-Sep-2012
Syndra,Justicar,12-Sep-2012
Syndra,Atlantean,29-Apr-2014
Syndra,Queen of Diamonds,20-May-2015
Syndra,Star Guardian,06-Sep-2017
Syndra,Snow Day,10-Dec-2015
Syndra,SKT T1,27-Jun-2017
TahmKench,Original,08-Jul-2015
TahmKench,Master Chef,08-Jul-2015
TahmKench,Urf Kench,31-Mar-2016
TahmKench,Coin Emperor,28-Jan-2019
Taliyah,Original,17-May-2016
Taliyah,Freljord,17-May-2016
Taliyah,SSG,20-Jul-2018
Talon,Original,24-Aug-2011
Talon,Renegade,24-Aug-2011
Talon,Crimson Elite,24-Aug-2011
Talon,Dragonblade,10-Jan-2012
Talon,Blood Moon,09-Feb-2017
Talon,Enduring Sword,04-Sep-2018
Talon,Talon Blackwood,19-Mar-2020
Talon,SSW,13-May-2015
Taric,Original,18-Aug-2009
Taric,Armor of the Fifth Age,08-Apr-2010
Taric,Bloodstone,09-Aug-2011
Taric,Pool Party,13-Jul-2016
Taric,Taric Luminshield,19-Mar-2020
Taric,Emerald,20-Nov-2009
Teemo,Original,21-Feb-2009
Teemo,Astronaut,27-Oct-2010
Teemo,Cottontail,18-Apr-2011
Teemo,Super,10-Oct-2011
Teemo,Panda,09-Jul-2012
Teemo,Omega Squad,08-Apr-2015
Teemo,Beemo,01-May-2018
Teemo,Happy Elf,17-Dec-2009
Teemo,Recon,17-Dec-2009
Teemo,Badger,13-Jan-2010
Teemo,Little Devil,19-Oct-2016
Thresh,Original,23-Jan-2013
Thresh,Deep Terror,23-Jan-2013
Thresh,Blood Moon,08-Jan-2015
Thresh,Dark Star,15-Jun-2016
Thresh,High Noon,30-Aug-2018
Thresh,Pulsefire,21-Nov-2019
Thresh,Championship,03-Oct-2013
Thresh,SSW,13-May-2015
Thresh,Prestige Pulsefire,21-Nov-2019
Tristana,Original,21-Feb-2009
Tristana,Buccaneer,27-Jun-2011
Tristana,Rocket Girl,19-Oct-2012
Tristana,Dragon Trainer,03-Dec-2015
Tristana,Omega Squad,26-Jul-2017
Tristana,Little Demon,30-May-2019
Tristana,Pengu Cosplay,01-Apr-2020
Tristana,Earnest Elf,31-Dec-2009
Tristana,Firefighter,03-Jun-2010
Tristana,Guerilla,10-Aug-2010
Tristana,Bewitching,19-Oct-2016
Tristana,Riot Girl,15-Dec-2009
Trundle,Original,01-Dec-2010
Trundle,Lil' Slugger,01-Dec-2010
Trundle,Junkyard,01-Dec-2010
Trundle,Constable,28-Nov-2014
Trundle,Worldbreaker,10-Nov-2016
Trundle,Dragonslayer,30-Jan-2020
Trundle,Traditional,30-Apr-2013
Tryndamere,Original,30-Apr-2009
Tryndamere,King,21-Sep-2010
Tryndamere,Demonblade,01-Aug-2011
Tryndamere,Sultan,26-Sep-2012
Tryndamere,Nightmare,07-Jun-2015
Tryndamere,Beast Hunter,04-Feb-2016
Tryndamere,Chemtech,05-Jun-2017
Tryndamere,Blood Moon,20-Feb-2020
Tryndamere,Highland,16-Mar-2010
Tryndamere,Viking,24-Jun-2011
Tryndamere,Warring Kingdoms,28-Jan-2014
TwistedFate,Original,21-Feb-2009
TwistedFate,Jack of Hearts,10-Feb-2010
TwistedFate,Tango,05-Oct-2010
TwistedFate,High Noon,17-May-2011
TwistedFate,Musketeer,21-Nov-2011
TwistedFate,Cutpurse,21-Jul-2015
TwistedFate,Blood Moon,09-Feb-2017
TwistedFate,Pulsefire,17-May-2018
TwistedFate,The Magnificent,17-May-2010
TwistedFate,Underworld,26-Oct-2012
TwistedFate,Red Card,18-Jun-2014
TwistedFate,PAX,03-Sep-2009
Twitch,Original,30-Apr-2009
Twitch,Gangster,13-Oct-2010
Twitch,Pickpocket,28-Nov-2014
Twitch,Omega Squad,26-Jul-2017
Twitch,Twitch Shadowfoot,19-Mar-2020
Twitch,Kingpin,20-Nov-2009
Twitch,Whistler Village,12-Feb-2010
Twitch,Vandal,22-Feb-2011
Twitch,SSW,13-May-2015
Twitch,Ice King,06-Dec-2018
Twitch,Medieval,15-Dec-2009
Udyr,Original,02-Dec-2009
Udyr,Black Belt,18-Jul-2010
Udyr,Spirit Guard,16-Jul-2013
Udyr,Definitely Not,31-Mar-2015
Udyr,Dragon Oracle,15-Aug-2019
Udyr,Primal,06-Dec-2010
Urgot,Original,24-Aug-2010
Urgot,Giant Enemy Crabgot,24-Aug-2010
Urgot,Battlecast,05-Mar-2012
Urgot,High Noon,30-Aug-2018
Urgot,Pajama Guardian Cosplay,01-Apr-2020
Urgot,Butcher,24-Aug-2010
Varus,Original,08-May-2012
Varus,Blight Crystal,08-May-2012
Varus,Arclight,05-Dec-2012
Varus,Arctic Ops,20-Mar-2014
Varus,Varus Swiftbolt,07-Dec-2015
Varus,Dark Star,15-Jun-2016
Varus,Infernal,05-Sep-2019
Varus,Heartseeker,13-Feb-2015
Varus,Conqueror,25-Apr-2018
Vayne,Original,10-May-2011
Vayne,Aristocrat,10-May-2011
Vayne,Dragonslayer,24-Aug-2011
Vayne,Arclight,20-Apr-2015
Vayne,PROJECT,22-Nov-2017
Vayne,Vindicator,10-May-2011
Vayne,Heartseeker,14-Feb-2012
Vayne,SKT T1,04-May-2014
Vayne,Firecracker,28-Jan-2019
Vayne,Soulstealer,28-Jul-2016
Vayne,Prestige Firecracker,28-Jan-2019
Veigar,Original,23-Jul-2009
Veigar,White Mage,17-Dec-2009
Veigar,Veigar Greybeard,08-Sep-2010
Veigar,Leprechaun,15-Mar-2011
Veigar,Superb Villain,02-Jan-2012
Veigar,Final Boss,27-Aug-2014
Veigar,Omega Squad,26-Jul-2017
Veigar,Elderwood,29-Aug-2019
Veigar,Furyhorn Cosplay,01-Apr-2020
Veigar,Curling,12-Feb-2010
Veigar,Baron Von,27-Jun-2011
Veigar,Bad Santa,14-Dec-2012
Velkoz,Original,27-Feb-2014
Velkoz,Battlecast,27-Feb-2014
Velkoz,Arclight,28-Jan-2015
Velkoz,Definitely Not,31-Mar-2016
Vi,Original,19-Dec-2012
Vi,Neon Strike,19-Dec-2012
Vi,Officer,29-Oct-2013
Vi,Debonair,05-Aug-2014
Vi,Demon,19-Oct-2015
Vi,PROJECT,22-Nov-2017
Vi,Warring Kingdoms,19-Jan-2017
Vi,Heartbreaker,11-Feb-2019
Viktor,Original,29-Dec-2011
Viktor,Full Machine,29-Dec-2011
Viktor,Creator,30-Sep-2013
Viktor,Prototype,29-Dec-2011
Viktor,Death Sworn,25-Oct-2017
Vladimir,Original,27-Jul-2010
Vladimir,Marquis,27-Jul-2010
Vladimir,Blood Lord,21-Nov-2011
Vladimir,Soulstealer,09-Jul-2014
Vladimir,Academy,26-Aug-2015
Vladimir,Dark Waters,31-May-2018
Vladimir,Nightbringer,12-Dec-2019
Vladimir,Count,27-Jul-2010
Vladimir,Nosferatu,19-Oct-2010
Vladimir,Vandal,24-Jan-2011
Volibear,Original,29-Nov-2011
Volibear,Thunder Lord,29-Nov-2011
Volibear,Runeguard,29-Apr-2013
Volibear,Captain,28-Nov-2014
Volibear,El Rayo,01-Jun-2016
Volibear,Northern Storm,29-Nov-2011
Warwick,Original,21-Feb-2009
Warwick,Tundra Hunter,15-Aug-2010
Warwick,Firefang,29-Mar-2011
Warwick,Hyena,05-Dec-2011
Warwick,Marauder,17-Feb-2015
Warwick,PROJECT,01-Aug-2019
Warwick,Big Bad,27-Apr-2010
Warwick,Feral,16-Nov-2010
Warwick,Lunar Guardian,08-Feb-2018
Warwick,Grey,08-Jul-2010
Warwick,Urf the Manatee,31-Mar-2010
Warwick,Urfwick,08-Nov-2017
Xayah,Original,18-Apr-2017
Xayah,Cosmic Dusk,18-Apr-2017
Xayah,Star Guardian,12-Sep-2019
Xayah,Sweetheart,12-Feb-2018
Xayah,SSG,20-Jul-2018
Xerath,Original,05-Oct-2011
Xerath,Runeborn,05-Oct-2011
Xerath,Battlecast,05-Oct-2011
Xerath,Scorched Earth,13-Jul-2012
Xerath,Guardian of the Sands,26-Apr-2015
Xerath,Dark Star,26-Mar-2020
XinZhao,Original,13-Jul-2010
XinZhao,Commando,13-Jul-2010
XinZhao,Warring Kingdoms,08-Feb-2013
XinZhao,Secret Agent,16-Mar-2015
XinZhao,Dragonslayer,09-Mar-2017
XinZhao,Cosmic Defender,21-Aug-2018
XinZhao,Imperial,13-Jul-2010
XinZhao,Viscero,22-Nov-2010
XinZhao,Winged Hussar,26-Sep-2011
Yasuo,Original,13-Dec-2013
Yasuo,High Noon,13-Dec-2013
Yasuo,PROJECT,31-Aug-2014
Yasuo,Blood Moon,25-Feb-2016
Yasuo,Nightbringer,14-Jun-2017
Yasuo,Odyssey,12-Sep-2018
Yasuo,Battle Boss,28-Jun-2019
Yasuo,True Damage,10-Nov-2019
Yorick,Original,22-Jun-2011
Yorick,Undertaker,21-Jun-2011
Yorick,Pentakill,21-Jun-2011
Yorick,Arclight,02-Oct-2017
Yorick,Meowrick,27-Mar-2019
Yuumi,Original,14-May-2019
Yuumi,Battle Principal,14-May-2019
Yuumi,Heartseeker,04-Feb-2020
Zac,Original,29-Mar-2013
Zac,Special Weapon,29-Mar-2013
Zac,Pool Party,25-Jun-2015
Zac,SKT T1,27-Jun-2017
Zed,Original,13-Nov-2012
Zed,Shockblade,13-Nov-2012
Zed,PROJECT,07-Sep-2015
Zed,Galaxy Slayer,18-Apr-2019
Zed,SKT T1,04-May-2014
Zed,Championship,25-Sep-2016
Zed,Death Sworn,25-Oct-2017
Ziggs,Original,01-Feb-2012
Ziggs,Mad Scientist,01-Feb-2012
Ziggs,Pool Party,04-Sep-2012
Ziggs,Master Arcanist,06-May-2015
Ziggs,Battle Boss,08-Aug-2017
Ziggs,Sugar Rush,17-Dec-2019
Ziggs,Major,01-Feb-2012
Ziggs,Snow Day,14-Dec-2012
Ziggs,Odyssey,12-Sep-2018
Zilean,Original,17-Apr-2009
Zilean,Groovy,27-Jul-2010
Zilean,Shurima Desert,08-Sep-2010
Zilean,Blood Moon,10-May-2015
Zilean,Sugar Rush,17-Dec-2019
Zilean,Old Saint,23-Dec-2009
Zilean,Time Machine,12-Apr-2011
Zoe,Original,21-Nov-2017
Zoe,Cyber Pop,21-Nov-2017
Zoe,Pool Party,02-Aug-2018
Zoe,Star Guardian,12-Sep-2019
Zyra,Original,24-Jul-2012
Zyra,Wildfire,24-Jul-2012
Zyra,Haunted,29-Oct-2013
Zyra,Dragon Sorceress,09-Mar-2017
Zyra,SKT T1,04-May-2014
Zyra,Coven,???
Zyra,Prestige Coven,???
