"Champion","Name","Erscheinungsdatum","TagDate","BannrateNachher","BannrateVorher","BeliebtheitNachher","BeliebtheitVorher","GewinnrateNachher","GewinnrateVorher","DeltaBannrate","DeltaBeliebtheit","DeltaGewinnrate"
"Annie","Original","21-Feb-2009",14296,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Annie","Frostfire","24-May-2011",15118,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Annie","Reverse","06-Sep-2011",15223,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Annie","Panda","08-Feb-2013",15744,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Annie","Super Galaxy","16-Oct-2017",17455,0.0111,0.0148,0.0364,0.0411,0.5162,0.5162,-0.0037,-0.0047,0
"Annie","Red Riding","27-Apr-2010",14726,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Annie","Annie in Wonderland","16-Aug-2010",14837,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Annie","Prom Queen","07-Feb-2011",15012,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Annie","FrankenTibbers","19-Oct-2011",15266,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Annie","Sweetheart","13-Feb-2015",16479,0.0549,0.0078,0.1718,0.0979,0.5239,0.5326,0.0471,0.0739,-0.00869999999999993
"Annie","Goth","27-Oct-2009",14544,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Annie","Hextech","15-Mar-2016",16875,0.0066,0.0011,0.0593,0.055,0.5144,0.5235,0.0055,0.0043,-0.0091
"Annie","Annie-Versary","27-Oct-2019",18196,0.0073,0.0078,0.0299,0.0272,0.4996,0.4936,-5e-04,0.0027,0.00600000000000001
"Aphelios","Original","11-Dec-2019",18241,0.623,NA,0.1483,NA,0.5011,NA,NA,NA,NA
"Aphelios","Nightbringer","11-Dec-2019",18241,0.623,NA,0.1483,NA,0.5011,NA,NA,NA,NA
"Ashe","Original","21-Feb-2009",14296,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashe","Sherwood Forest","08-Apr-2010",14707,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashe","Woad","18-Jul-2010",14808,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashe","Amethyst","15-Nov-2011",15293,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashe","Marauder","17-Feb-2015",16483,7e-04,0.001,0.0323,0.0497,0.5272,0.5236,-3e-04,-0.0174,0.00360000000000005
"Ashe","PROJECT","01-Aug-2016",17014,0.0346,0.008,0.2353,0.1572,0.5319,0.539,0.0266,0.0781,-0.0071
"Ashe","Cosmic Queen","21-Aug-2018",17764,0.002,0.0017,0.0532,0.0346,0.4921,0.4845,3e-04,0.0186,0.0076
"Ashe","High Noon","10-Oct-2019",18179,0.0564,0.0063,0.1963,0.0737,0.5394,0.5109,0.0501,0.1226,0.0285
"Ashe","Freljord","20-Nov-2009",14568,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashe","Queen","21-Sep-2010",14873,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashe","Heartseeker","14-Feb-2014",16115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashe","Championship","12-Sep-2017",17421,0.0031,0.0028,0.0916,0.0881,0.4845,0.4904,3e-04,0.0035,-0.00590000000000002
"AurelionSol","Original","24-Mar-2016",16884,0.1265,NA,0.047,NA,0.5365,NA,NA,NA,NA
"AurelionSol","Ashen Lord","24-Mar-2016",16884,0.1265,NA,0.047,NA,0.5365,NA,NA,NA,NA
"AurelionSol","Mecha","16-Aug-2018",17759,0.0089,0.008,0.021,0.0196,0.5444,0.5394,9e-04,0.0014,0.005
"Azir","Original","15-Sep-2014",16328,0.0849,NA,0.0733,NA,0.3959,NA,NA,NA,NA
"Azir","Galactic","15-Sep-2014",16328,0.0849,NA,0.0733,NA,0.3959,NA,NA,NA,NA
"Azir","Gravelord","01-Dec-2015",16770,0.0053,0.0102,0.0597,0.0529,0.4593,0.4418,-0.0049,0.0068,0.0175
"Azir","SKT T1","17-Aug-2016",17030,0.0175,0.1968,0.0283,0.1087,0.4338,0.45,-0.1793,-0.0804,-0.0162
"Azir","Warring Kingdoms","19-Jan-2017",17185,0.002,0.0026,0.0244,0.0231,0.4691,0.4836,-6e-04,0.0013,-0.0145
"Bard","Original","12-Mar-2015",16506,0.0452,NA,0.0567,NA,0.3901,NA,NA,NA,NA
"Bard","Elderwood","12-Mar-2015",16506,0.0452,NA,0.0567,NA,0.3901,NA,NA,NA,NA
"Bard","Snow Day","10-Dec-2015",16779,0.0057,0.0019,0.1306,0.0546,0.4795,0.5079,0.0038,0.076,-0.0284
"Bard","Bard Bard","17-Nov-2016",17122,0.0031,0.0072,0.0956,0.1143,0.4892,0.5047,-0.0041,-0.0187,-0.0155
"Blitzcrank","Original","01-Sep-2009",14488,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blitzcrank","Boom Boom","29-Aug-2010",14850,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blitzcrank","Piltover Customs","07-Mar-2011",15040,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blitzcrank","iBlitzcrank","01-Mar-2013",15765,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blitzcrank","Battle Boss","19-Aug-2015",16666,0.0113,0.0094,0.2135,0.1553,0.5269,0.5336,0.0019,0.0582,-0.00669999999999993
"Blitzcrank","Lancer Rogue","16-Nov-2017",17486,0.1884,0.189,0.1187,0.0883,0.5169,0.4913,-0.000599999999999989,0.0304,0.0256
"Blitzcrank","Lancer Paragon","16-Nov-2017",17486,0.1884,0.189,0.1187,0.0883,0.5169,0.4913,-0.000599999999999989,0.0304,0.0256
"Blitzcrank","Goalkeeper","24-Jun-2010",14784,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blitzcrank","Definitely Not","19-Oct-2011",15266,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blitzcrank","Riot","21-Oct-2013",15999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blitzcrank","Witch's Brew","24-Oct-2019",18193,0.3116,0.1517,0.1156,0.0982,0.522,0.5122,0.1599,0.0174,0.00980000000000003
"Blitzcrank","Rusty","20-Nov-2009",14568,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brand","Original","12-Apr-2011",15076,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brand","Apocalyptic","12-Apr-2011",15076,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brand","Cryocore","05-Oct-2011",15252,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brand","Spirit Fire","21-Oct-2015",16729,0.0034,0.0011,0.0727,0.044,0.5388,0.5316,0.0023,0.0287,0.00719999999999998
"Brand","Battle Boss","08-Aug-2017",17386,0.0228,0.0247,0.065,0.0758,0.4925,0.5134,-0.0019,-0.0108,-0.0209
"Brand","Arclight","07-Mar-2019",17962,0.0788,0.138,0.0535,0.0753,0.4906,0.5035,-0.0592,-0.0218,-0.0129
"Brand","Vandal","12-Apr-2011",15076,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brand","Zombie","26-Oct-2012",15639,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Braum","Original","11-May-2014",16201,0.6737,NA,0.1615,NA,0.5445,NA,NA,NA,NA
"Braum","Dragonslayer","11-May-2014",16201,0.6737,NA,0.1615,NA,0.5445,NA,NA,NA,NA
"Braum","El Tigre","21-Jan-2015",16456,0.0155,0.0408,0.0917,0.0838,0.4912,0.4918,-0.0253,0.0079,-0.000599999999999989
"Braum","Braum Lionheart","07-Dec-2015",16776,0.0042,0.0055,0.093,0.1353,0.504,0.5039,-0.0013,-0.0423,9.9999999999989e-05
"Braum","Mafia","23-Aug-2018",17766,0.0493,0.0295,0.0929,0.0596,0.4955,0.4854,0.0198,0.0333,0.0101
"Braum","Sugar Rush","17-Dec-2019",18247,0.0082,0.01,0.047,0.0296,0.4911,0.4564,-0.0018,0.0174,0.0347
"Braum","Santa","14-Dec-2016",17149,0.0061,0.0189,0.0809,0.0963,0.492,0.495,-0.0128,-0.0154,-0.003
"Caitlyn","Original","04-Jan-2011",14978,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caitlyn","Resistance","04-Jan-2011",14978,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caitlyn","Arctic Warfare","29-Dec-2011",15337,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caitlyn","Officer","05-Oct-2011",15252,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caitlyn","Headhunter","03-Sep-2014",16316,0.0056,0.0145,0.2487,0.2856,0.492,0.4871,-0.0089,-0.0369,0.00490000000000002
"Caitlyn","Pulsefire","24-May-2017",17310,0.2489,0.0292,0.3777,0.2692,0.5164,0.508,0.2197,0.1085,0.00839999999999996
"Caitlyn","Pool Party","02-Aug-2018",17745,0.0152,0.0092,0.1017,0.0403,0.4753,0.4453,0.006,0.0614,0.03
"Caitlyn","Arcade","28-Jun-2019",18075,0.0635,0.0435,0.1831,0.1243,0.4994,0.4886,0.02,0.0588,0.0108
"Caitlyn","Sheriff","04-Jan-2011",14978,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caitlyn","Safari","10-May-2011",15104,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caitlyn","Lunar Wraith","27-Jan-2016",16827,5e-04,0.0019,0.111,0.1135,0.4825,0.47,-0.0014,-0.0025,0.0125
"Caitlyn","Prestige Arcade","28-Jun-2019",18075,0.0635,0.0435,0.1831,0.1243,0.4994,0.4886,0.02,0.0588,0.0108
"Camille","Original","07-Dec-2016",17142,0.6592,NA,0.0984,NA,0.5384,NA,NA,NA,NA
"Camille","Program","12-Dec-2016",17147,0.7424,NA,0.0791,NA,0.5565,NA,NA,NA,NA
"Camille","Coven","27-Nov-2018",17862,0.2378,0.2319,0.1559,0.1555,0.4949,0.5029,0.00590000000000002,0.000400000000000011,-0.00800000000000001
"Camille","iG","23-Apr-2019",18009,0.0127,0.0246,0.0385,0.0436,0.4935,0.4925,-0.0119,-0.0051,0.001
"Cassiopeia","Original","14-Dec-2010",14957,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cassiopeia","Desperada","14-Dec-2010",14957,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cassiopeia","Siren","14-Dec-2010",14957,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cassiopeia","Mythic","18-Jul-2012",15539,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cassiopeia","Jade Fang","08-Feb-2013",15744,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cassiopeia","Eternum","20-Sep-2017",17429,0.017,0.0171,0.0387,0.0437,0.4718,0.4948,-9.99999999999994e-05,-0.005,-0.023
"Chogath","Original","25-Jun-2009",14420,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chogath","Gentleman","11-May-2010",14740,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chogath","Jurassic","01-Nov-2011",15279,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chogath","Battlecast Prime","03-Aug-2012",15555,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chogath","Prehistoric","14-Jun-2015",16600,0.1769,0.1921,0.0893,0.1287,0.5033,0.5018,-0.0152,-0.0394,0.00149999999999995
"Chogath","Nightmare","20-Nov-2009",14568,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chogath","Loch Ness","01-Mar-2011",15034,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chogath","Dark Star","13-Jul-2018",17725,0.0129,0.0248,0.0373,0.0451,0.4849,0.4921,-0.0119,-0.0078,-0.00719999999999998
"Corki","Original","18-Sep-2009",14505,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corki","Urfrider","04-Apr-2011",15068,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corki","Dragonwing","08-Feb-2013",15744,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corki","Arcade","24-Aug-2016",17037,0.0016,0.0014,0.0223,0.0169,0.5011,0.5008,2e-04,0.0054,0.000299999999999967
"Corki","Corgi","27-Mar-2019",17982,0.006,0.004,0.0565,0.0405,0.5011,0.506,0.002,0.016,-0.00490000000000002
"Corki","Ice Toboggan","12-Feb-2010",14652,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corki","Red Baron","24-Mar-2010",14692,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corki","Hot Rod","27-Jul-2010",14817,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corki","Fnatic","24-Sep-2014",16337,0.0059,0.0023,0.156,0.0902,0.5171,0.508,0.0036,0.0658,0.0091
"Corki","UFO","01-Jan-2010",14610,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darius","Original","22-May-2012",15482,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darius","Lord","22-May-2012",15482,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darius","Bioforge","13-Nov-2012",15657,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darius","Woad King","16-Jun-2013",15872,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darius","Dunkmaster","12-Oct-2014",16355,0.0031,0.0023,0.0417,0.0275,0.4747,0.4652,8e-04,0.0142,0.00950000000000001
"Darius","Academy","26-Aug-2015",16673,0.6574,0.0027,0.0934,0.0319,0.5379,0.4958,0.6547,0.0615,0.0421
"Darius","God-King","27-Jun-2018",17709,0.3976,0.3196,0.1765,0.1138,0.4921,0.5117,0.078,0.0627,-0.0196000000000001
"Darius","High Noon","10-Oct-2019",18179,0.2813,0.2981,0.1042,0.0977,0.5018,0.5091,-0.0168,0.00650000000000001,-0.00729999999999997
"Darius","Dreadnova","12-Apr-2017",17268,0.1783,0.1485,0.1087,0.0849,0.5149,0.5288,0.0298,0.0238,-0.0139
"Diana","Original","07-Aug-2012",15559,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diana","Dark Valkyrie","07-Aug-2012",15559,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diana","Lunar Goddess","28-Jan-2014",16098,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diana","Infernal","20-Apr-2016",16911,0.0135,0.0168,0.0562,0.0542,0.4912,0.5009,-0.0033,0.002,-0.00969999999999999
"Diana","Blood Moon","09-Feb-2017",17206,0.0037,0.0029,0.0364,0.0299,0.5057,0.5057,8e-04,0.0065,0
"Diana","Dark Waters","31-May-2018",17682,0.0148,0.0133,0.0384,0.033,0.4825,0.4909,0.0015,0.0054,-0.00840000000000002
"Diana","Dragonslayer","30-Jan-2020",18291,0.2277,0.2641,0.1064,0.1532,0.5151,0.5167,-0.0364,-0.0468,-0.00160000000000005
"Draven","Original","05-Jun-2012",15496,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Draven","Soul Reaver","05-Jun-2012",15496,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Draven","Gladiator","25-Mar-2013",15789,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Draven","Primetime","20-Jun-2014",16241,0.039,0.0252,0.1198,0.107,0.5098,0.5162,0.0138,0.0128,-0.00639999999999996
"Draven","Pool Party","25-Jun-2015",16611,0.0034,0.0027,0.0829,0.0669,0.5128,0.5169,7e-04,0.016,-0.00409999999999999
"Draven","Beast Hunter","04-Feb-2016",16835,0.0443,0.002,0.0411,0.0609,0.5161,0.5012,0.0423,-0.0198,0.0149
"Draven","Mecha Kingdoms","15-Jan-2020",18276,0.0656,0.1015,0.0606,0.0577,0.4924,0.4896,-0.0359,0.0029,0.00280000000000002
"Draven","Draven Draven","31-Mar-2016",16891,0.0018,0.0319,0.0639,0.0412,0.4986,0.5147,-0.0301,0.0227,-0.0161000000000001
"Draven","Santa","12-Dec-2017",17512,0.0927,0.1491,0.0795,0.0788,0.4921,0.5065,-0.0564,0.000700000000000006,-0.0144
"DrMundo","Original","01-Sep-2009",14488,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DrMundo","Corporate Mundo","12-Sep-2010",14864,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DrMundo","Rageborn Mundo","27-Jul-2012",15548,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DrMundo","Pool Party Mundo","25-Jun-2015",16611,8e-04,0.0013,0.0201,0.0321,0.4794,0.4717,-5e-04,-0.012,0.00769999999999998
"DrMundo","El Macho Mundo","01-Jun-2016",16953,0.0013,0.006,0.0208,0.0276,0.4879,0.5018,-0.0047,-0.0068,-0.0139
"DrMundo","Toxic","17-Dec-2009",14595,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DrMundo","Mr. Mundoverse","24-Mar-2010",14692,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DrMundo","Mundo Mundo","19-Oct-2010",14901,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DrMundo","Executioner Mundo","17-Jun-2011",15142,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DrMundo","TPA Mundo","23-May-2013",15848,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DrMundo","Frozen Prince Mundo","06-Dec-2018",17871,0.0069,0.0056,0.0208,0.0206,0.4642,0.4797,0.0013,0.000199999999999999,-0.0155
"Ekko","Original","27-May-2015",16582,0.7984,NA,0.1483,NA,0.4869,NA,NA,NA,NA
"Ekko","Sandstorm","27-May-2015",16582,0.7984,NA,0.1483,NA,0.4869,NA,NA,NA,NA
"Ekko","Academy","26-Aug-2015",16673,0.0777,0.2653,0.159,0.0926,0.49,0.4767,-0.1876,0.0664,0.0133
"Ekko","PROJECT","01-Aug-2016",17014,0.1224,0.1556,0.1887,0.1035,0.4917,0.495,-0.0332,0.0852,-0.00329999999999997
"Ekko","True Damage","10-Nov-2019",18210,0.2673,0.1445,0.1681,0.1634,0.522,0.5183,0.1228,0.00470000000000001,0.00370000000000004
"Ekko","SKT T1","27-Jun-2017",17344,0.0269,0.0284,0.0811,0.1006,0.4946,0.4908,-0.0015,-0.0195,0.00379999999999997
"Ekko","Trick or Treat","24-Oct-2018",17828,0.0192,0.0147,0.0865,0.0729,0.5003,0.5015,0.0045,0.0136,-0.00119999999999998
"Elise","Original","26-Oct-2012",15639,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elise","Death Blossom","26-Oct-2012",15639,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Elise","Blood Moon","08-Jan-2015",16443,0.0012,0.0019,0.037,0.0359,0.436,0.4481,-7e-04,0.0011,-0.0121
"Elise","Super Galaxy","16-Oct-2017",17455,0.0607,0.0859,0.0683,0.0653,0.4986,0.4931,-0.0252,0.003,0.0055
"Elise","SKT T1","17-Aug-2016",17030,0.0198,0.0118,0.1021,0.0928,0.5065,0.505,0.008,0.0093,0.00149999999999995
"Elise","Victorious","20-Dec-2013",16059,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evelynn","Original","30-Apr-2009",14364,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evelynn","Shadow","20-Nov-2009",14568,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evelynn","Tango","05-Oct-2010",14887,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evelynn","Safecracker","28-Nov-2014",16402,0.0109,0.0495,0.0161,0.0272,0.4848,0.4678,-0.0386,-0.0111,0.017
