"Quartal","pWerte","pWerteKorrigiert","Korrelation"
"2015-1",0.0253933516027553,0.0761800548082658,-0.200726955387627
"2015-2",0.0794141836713885,0.170395316707894,-0.157492604225817
"2015-3",0.0128090620965528,0.0728480090032096,-0.221191444724422
"2015-4",0.386826029217926,0.451297034087581,-0.0771328075895008
"2016-1",0.0208137168580599,0.0728480090032096,-0.203350889184286
"2016-2",0.897443870987377,0.903879837019265,0.0113698688702342
"2016-3",0.00283348022848601,0.0297515423991031,-0.257875814029851
"2016-4",0.0811406270037592,0.170395316707894,-0.151216828512134
"2017-1",0.179489295825172,0.269233943737758,-0.116656151342818
"2017-2",0.0191337890000974,0.0728480090032096,-0.200706981450592
"2017-3",0.257909824433338,0.361073754206673,-0.0969613397772158
"2017-4",0.511569695732518,0.565419137388573,-0.0561377469196031
"2018-1",0.344695911125099,0.425800831389829,-0.0804526952147459
"2018-2",0.903879837019265,0.903879837019265,-0.0102610369220683
"2018-3",0.0344598396720018,0.0904570791390048,-0.178243598386544
"2018-4",0.155136945167512,0.269233943737758,-0.119928576604777
"2019-1",0.178224866648384,0.269233943737758,-0.113209630042027
"2019-2",0.0144773109553327,0.0728480090032096,-0.203404276588905
"2019-3",3.83958307760184e-05,0.000806312446296387,-0.334866310148529
"2019-4",0.155752033440987,0.269233943737758,-0.117676132739169
"2020-1",0.289246209828935,0.379635650400478,-0.0876886846935222
