"Champion","2015-1","2015-2","2015-3","2015-4","2016-1","2016-2","2016-3","2016-4","2017-1","2017-2","2017-3","2017-4","2018-1","2018-2","2018-3","2018-4","2019-1","2019-2","2019-3","2019-4","2020-1","NumberOfQuartalsPresent","Mean","Sum"
"Rengar",1,0,0,0,2,2,0,3,3,2,1,3,4,1,1,1,3,0,0,0,3,22,1.36,30
"Riven",0,1,1,3,1,1,2,2,1,3,3,3,1,2,0,0,2,1,2,0,1,22,1.36,30
"Rumble",1,0,2,0,3,2,0,0,0,2,2,1,1,2,0,0,1,1,1,0,2,22,0.95,21
"Ryze",1,5,1,1,2,2,3,0,3,4,1,2,4,3,1,0,1,2,2,1,1,22,1.82,40
"Sejuani",1,2,0,0,1,0,0,0,0,2,2,3,2,2,2,0,1,2,2,1,2,22,1.14,25
"Senna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,1.67,5
"Sett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,3,6
"Shaco",0,0,0,1,1,3,0,3,3,5,0,2,3,1,1,3,1,3,2,4,1,22,1.68,37
"Shen",0,3,2,0,3,0,2,1,0,2,0,2,0,0,1,0,2,1,1,0,1,22,0.95,21
"Shyvana",1,1,1,1,1,2,3,3,2,0,1,2,3,1,0,0,3,0,1,2,2,22,1.36,30
"Singed",2,0,1,0,0,0,1,0,0,1,4,1,2,2,0,1,1,2,2,0,1,22,0.95,21
"Sion",3,2,0,2,0,2,1,0,2,1,2,2,2,4,2,1,1,0,2,2,1,22,1.45,32
"Sivir",0,1,1,2,1,2,1,0,1,1,4,1,1,2,1,0,2,1,2,1,1,22,1.18,26
"Skarner",2,0,4,1,0,0,0,0,1,0,0,2,5,0,0,0,1,1,0,0,0,22,0.77,17
"Sona",2,0,0,1,0,1,3,0,3,2,1,3,2,2,0,0,0,1,0,2,5,22,1.27,28
"Soraka",1,0,0,2,1,3,2,0,0,1,1,1,0,1,0,1,1,2,2,0,2,22,0.95,21
"Swain",0,0,0,2,0,5,0,1,0,2,1,1,5,4,1,1,0,0,2,0,2,22,1.23,27
"Sylas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,3,6,3,18
"Syndra",3,0,3,1,0,4,2,1,2,4,4,2,4,1,1,0,0,1,2,1,2,22,1.73,38
"TahmKench",NA,NA,5,3,3,1,1,0,0,2,2,2,1,2,2,1,1,3,5,0,2,20,1.8,36
"Taliyah",NA,NA,NA,NA,NA,3,3,2,0,2,2,3,0,5,2,2,0,3,2,0,0,17,1.71,29
"Talon",0,0,0,1,1,1,0,1,2,1,2,1,4,2,1,0,0,0,0,0,2,22,0.86,19
"Taric",0,1,1,1,0,2,1,0,0,0,1,2,0,1,1,0,1,0,0,1,1,22,0.64,14
"Teemo",0,0,2,1,1,3,2,2,2,3,1,2,3,3,0,1,0,1,1,1,3,22,1.45,32
"Thresh",0,0,3,0,2,2,2,2,1,1,2,3,1,1,2,2,1,1,1,3,3,22,1.5,33
"Tristana",3,2,1,1,0,1,1,0,1,1,3,1,4,2,0,3,1,1,0,0,0,22,1.18,26
"Trundle",1,2,0,1,1,3,2,0,1,1,1,1,1,0,2,1,2,1,0,0,2,22,1.05,23
"Tryndamere",0,1,0,0,0,2,0,1,0,0,0,1,1,1,1,0,3,3,0,0,0,22,0.64,14
"TwistedFate",2,0,0,1,0,2,1,0,1,1,2,2,1,2,1,1,2,0,1,1,1,22,1,22
"Twitch",1,1,2,1,0,2,2,3,1,1,3,2,4,2,1,0,2,0,1,0,0,22,1.32,29
"Udyr",0,0,0,0,1,2,1,1,1,3,0,2,2,0,0,0,1,1,1,0,1,22,0.77,17
"Urgot",1,0,0,1,1,1,0,0,0,1,3,4,0,1,1,0,4,1,1,0,2,22,1,22
"Varus",2,0,0,1,1,2,0,1,3,2,1,1,2,4,1,3,2,0,0,1,3,22,1.36,30
"Vayne",0,0,1,2,0,1,3,3,0,2,1,2,3,1,2,0,2,2,2,0,2,22,1.32,29
"Veigar",3,0,2,2,0,3,3,0,1,2,1,1,1,2,2,0,1,0,1,0,1,22,1.18,26
"Velkoz",1,0,1,1,1,3,1,0,0,1,1,2,1,1,1,0,1,0,0,0,1,22,0.77,17
"Vi",1,0,1,0,1,0,1,0,1,2,2,3,3,1,2,3,3,1,0,1,2,22,1.27,28
"Viktor",1,0,3,2,1,2,3,1,1,1,0,2,2,2,2,2,2,0,1,2,2,22,1.45,32
"Vladimir",0,0,0,0,0,5,3,2,3,1,0,1,2,2,0,0,0,0,0,0,0,22,0.86,19
"Volibear",1,0,1,1,0,2,1,0,0,2,0,1,4,1,0,0,2,1,0,0,0,22,0.77,17
"Warwick",0,1,0,0,0,1,0,0,2,1,1,1,1,3,0,2,0,2,1,1,3,22,0.91,20
"Xayah",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,2,2,2,1,0,2,0,3,2,0,13,1.46,19
"Xerath",2,1,0,1,0,2,1,1,0,1,3,1,1,1,0,0,1,0,1,0,1,22,0.82,18
"XinZhao",1,1,2,1,2,2,0,0,1,1,1,3,4,3,0,0,2,1,1,0,1,22,1.23,27
"Yasuo",0,1,1,0,2,0,4,3,1,6,2,3,2,2,0,1,5,1,1,3,3,22,1.86,41
"Yorick",1,0,0,0,0,0,1,3,2,3,1,2,0,1,1,2,3,0,0,0,1,22,0.95,21
"Yuumi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,1,5,1.8,9
"Zac",1,1,3,1,1,2,1,1,1,6,2,1,1,1,0,1,0,2,2,0,0,22,1.27,28
"Zed",1,1,2,2,1,3,1,1,1,0,2,2,3,2,0,0,3,1,0,0,1,22,1.23,27
"Ziggs",1,0,0,2,1,5,0,3,0,2,3,1,1,1,0,1,1,1,2,0,1,22,1.18,26
"Zilean",3,1,2,3,0,2,1,0,0,1,1,1,1,1,0,0,0,0,0,0,3,22,0.91,20
"Zoe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,2,1,1,0,2,0,1,11,1.45,16
"Zyra",1,0,1,1,1,2,3,0,3,3,1,3,2,3,0,1,5,1,1,0,2,22,1.55,34
